Name ; Type ; Value ; Comment

MAIN.nDemoVar_Persist;INT;0;
P_DALI_Energy_Line.arrDaliLineEnergySumWh[1];LREAL;1383934,296;
P_DALI_Energy_Line.arrDaliLineEnergySumWh[2];LREAL;1455901,034;
P_DALI_Energy_Line.arrDaliLineEnergySumWh[3];LREAL;0;
P_DALI_Energy_Line.arrDaliLineEnergySumWh[4];LREAL;0;
P_DALI_Energy_Line.arrDaliLineEnergySumWh[5];LREAL;0;
P_DALI_Energy_Line.arrDaliLineEnergySumWh[6];LREAL;0;
P_DALI_Energy_Line.fTotalEnergyWh;LREAL;6107424,775;
P_DALI_Energy_Line.nMaxControlGearOperatingHours;UINT;2383;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[0];REAL;3,287356;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[1];REAL;23,01149;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[2];REAL;36,16092;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[3];REAL;49,31034;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[4];REAL;65,74713;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[5];REAL;85,47127;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[6];REAL;98,62069;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[7];REAL;108,4828;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[8];REAL;121,6322;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[9];REAL;134,7816;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[10];REAL;151,2184;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[11];REAL;164,3678;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[12];REAL;177,5172;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[13];REAL;190,6667;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[14];REAL;207,1035;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[15];REAL;220,2529;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[16];REAL;239,977;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[17];REAL;246,5517;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[18];REAL;256,4138;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[19];REAL;246,5517;
P_Gang_3_509.arrstTuneDataGruppe[1].arrLuxLevels[20];REAL;256,4138;
P_Gang_3_509.arrstTuneDataGruppe[1].bTunnigDone;BOOL;True;
P_Gang_3_509.arrstTuneDataGruppe[2].arrLuxLevels[0];REAL;3,287356;
P_Gang_3_509.arrstTuneDataGruppe[2].arrLuxLevels[1];REAL;23,01149;
P_Gang_3_509.arrstTuneDataGruppe[2].arrLuxLevels[2];REAL;36,16092;
P_Gang_3_509.arrstTuneDataGruppe[2].arrLuxLevels[3];REAL;49,31034;
P_Gang_3_509.arrstTuneDataGruppe[2].arrLuxLevels[4];REAL;65,74713;
P_Gang_3_509.arrstTuneDataGruppe[2].arrLuxLevels[5];REAL;85,47127;
